"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"X08AI.1",4,1.25594138719208,1.20742668481406,0.202029835067586,6,0.240136326210357,0.6,9
"X07AC.2",13,0.0522594537511492,0.528295889093257,0.244367948363339,1,-1.9480313949942,0.1,9
"X08AI.2",17,0.495987963861893,0.595335705507162,0.323186373764433,5,-0.307400774630686,0.5,9
"X11AM.2",5,0.00721411494221367,1.16687503129456,0.599775646852089,1,-1.93349116863748,0.1,9
"X08AA.1",7,0.056407963379914,0.655147275261032,0.456702803057812,1,-1.31100424142859,0.1,9
"X08AK.1",19,0.239034030349869,0.569528195097802,0.367720882797909,4,-0.898763655284611,0.4,9
"X09AV.1",10,0.0344322021016042,0.934832265184254,0.74671687775172,1,-1.20581185441215,0.1,9
"X08AK.2",9,0.727123188035636,0.546044068157106,0.294573673443009,8,0.614715896916579,0.8,9
"X09AV.2",7,0.206621647218848,0.882409305957094,0.518955263427039,2,-1.30220792882132,0.2,9
"X07AE.1",22,0.330277737145622,0.536306873661647,0.314653333874387,4,-0.654781355656236,0.4,9
"X08AM.1",7,0.336101997344338,0.954224848943904,0.466199743862575,2,-1.32587557101227,0.2,9
"X09AH.1",9,0.256210035409986,0.824995917212036,0.424391174829255,2,-1.34023965515044,0.2,9
"X09AW.1",12,0.0982453887481909,0.789676163050003,0.467260266299834,1,-1.47975512614662,0.1,9
"X07AE.2",14,0.60889743648395,0.661935552506428,0.193967960736248,4,-0.273437509066758,0.4,9
"X09AH.2",6,0.109879705849938,0.813720017420159,0.346138180048425,1,-2.03340848291209,0.1,9
"X09AW.2",5,0.633959454949434,1.05121132925253,0.800827587021423,4,-0.521025850089665,0.4,9
"X08AC.1",6,0.0810568417296153,0.793818095053596,0.464958397202735,1,-1.53295705080727,0.1,9
"X08AO.1",10,0.183004009992921,0.732893004104033,0.363099282907866,1,-1.51443150674203,0.1,9
"X09AY.1",14,0.461176730546953,0.691644363602553,0.418528565388589,4,-0.550661656371337,0.4,9
"X08AO.2",6,0.317763085654838,0.917542726629836,0.408620960163257,2,-1.46781418343143,0.2,9
"X09AO.2",12,1.19946750386891,0.813193217963877,0.31033768811804,9,1.24469022195626,0.9,9
"X09AY.2",11,0.551018135744801,0.731087560110155,0.758120440416865,7,-0.237520867088532,0.7,9
"X07AH.1",15,0.116287114963967,0.77923983788365,0.346038467304241,1,-1.91583533496814,0.1,9
