"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"X09AC.1",8,0.0206807540528193,0.0325539131597146,0.0147417789252146,3,-0.805408842930562,0.3,9
"X09AC.2",3,0.0190684336952379,0.0261084198608673,0.00909299185713725,3,-0.774221100847411,0.3,9
"X09AC.3",2,0.0212638140666185,0.0293677679268193,0.0151429763067335,4,-0.535162552991463,0.4,9
"X07AO.1",15,0.586199431352592,1.00621805838042,0.527469128407632,3,-0.796290445084088,0.3,9
"X08AI.1",4,0.545147453331341,0.334626069771301,0.167787938095613,10,1.2546872316893,1,9
"X07AC.2",13,0.358881985334711,0.811878746404199,0.380628748269558,1,-1.19012755376186,0.1,9
"X08AI.2",17,1.01505458331047,0.883580112895365,0.20660480259465,7,0.636357280973053,0.7,9
"X11AM.2",5,0.00631065658576573,0.0128551569569797,0.00622394263397025,2,-1.05150396719502,0.2,9
"X08AA.1",7,0.131150440153319,0.149475699119655,0.0530928412731948,5,-0.345154987506535,0.5,9
"X08AK.1",19,0.919053541417961,1.39154170699161,0.501680237747907,2,-0.941811397025907,0.2,9
"X09AV.1",10,0.0366684484098532,0.110464531808975,0.0495298100947473,1,-1.48993269422909,0.1,9
"X08AK.2",9,0.633299874186648,0.659477560702207,0.214774587591756,5,-0.121884468777644,0.5,9
"X09AV.2",7,0.0586632150418829,0.192203156333016,0.0911264198012661,2,-1.46543605666024,0.2,9
"X07AE.1",22,1.60419670069791,1.26561401192499,0.495097638334424,8,0.683870538974815,0.8,9
"X08AM.1",7,0.432723652478298,1.29627617369734,0.503001688177911,1,-1.71679845518451,0.1,9
"X09AH.1",9,0.570465659911704,0.695802914151031,0.167277410132831,3,-0.749277826215739,0.3,9
"X09AW.1",12,0.135547730707602,0.404869692324385,0.207246957988366,2,-1.29952190483733,0.2,9
"X07AE.2",14,1.27929587305561,0.816000078599679,0.292371118727961,9,1.58461545884431,0.9,9
"X09AH.2",6,0.189622182148486,0.228617501327706,0.0445719595998396,2,-0.87488455812385,0.2,9
"X09AW.2",5,0.0446594842075251,0.131381179546178,0.071080531717517,2,-1.22004848927265,0.2,9
